DDT	Lect.ini	Lect.fin	Diferencia	Volumen (m3)	m3.ha	Tratamiento	Siembra
37	29531	29552	21	210	84	Testigo	2
38	29584	29596	12	120	48	Testigo	2
39	29617	29628	11	110	44	Testigo	2
40	29655	29671	16	160	64	Testigo	2
41	29697	29708	11	110	44	Testigo	2
42	29735	29751	16	160	64	Testigo	2
44	29771	29782	11	110	44	Testigo	2
46	29809	29827	18	180	72	Testigo	2
47	29845	29863	18	180	72	Testigo	2
48	29870	29882	12	120	48	Testigo	2
0	26483	26505	22	220	67.69230769	CropX	2
1	26532	26539	7	70	21.53846154	CropX	2
2	26569	26582	13	130	40	CropX	2
3	26641	26653	12	120	36.92307692	CropX	2
4	26687	26699	12	120	36.92307692	CropX	2
5	26818	26829	11	110	33.84615385	CropX	2
6	26846	26858	12	120	36.92307692	CropX	2
7	26872	26884	12	120	36.92307692	CropX	2
8	26930	26941	11	110	33.84615385	CropX	2
9	26991	27003	12	120	36.92307692	CropX	2
10	27097	27109	12	120	36.92307692	CropX	2
11	27109	27120	11	110	33.84615385	CropX	2
12	27173	27185	12	120	36.92307692	CropX	2
13	27256	27267	11	110	33.84615385	CropX	2
14	27384	27396	12	120	36.92307692	CropX	2
15	27396	27407	11	110	33.84615385	CropX	2
16	27468	27480	12	120	36.92307692	CropX	2
17	27641	27651	10	100	30.76923077	CropX	2
18	27720	27731	11	110	33.84615385	CropX	2
19	27750	27760	10	100	30.76923077	CropX	2
20	27846	27857	11	110	33.84615385	CropX	2
22	28085	28096	11	110	33.84615385	CropX	2
24	28252	28264	12	120	36.92307692	CropX	2
25	28342	28354	12	120	36.92307692	CropX	2
26	28440	28452	12	120	36.92307692	CropX	2
27	28494	28510	16	160	49.23076923	CropX	2
28	28609	28621	12	120	36.92307692	CropX	2
29	28681	28698	17	170	52.30769231	CropX	2
30	28783	28794	11	110	33.84615385	CropX	2
31	28832	28844	12	120	36.92307692	CropX	2
31	28867	28879	12	120	36.92307692	CropX	2
32	28979	28987	8	80	24.61538462	CropX	2
32	28943	28960	17	170	52.30769231	CropX	2
33	28960	28968	8	80	24.61538462	CropX	2
33	29029	29042	13	130	40	CropX	2
34	29042	29049	7	70	21.53846154	CropX	2
34	29109	29121	12	120	36.92307692	CropX	2
35	29121	29129	8	80	24.61538462	CropX	2
35	29178	29195	17	170	52.30769231	CropX	2
36	29205	29213	8	80	24.61538462	CropX	2
36	29275	29285	10	100	30.76923077	CropX	2
37	29285	29292	7	70	21.53846154	CropX	2
37	29350	29361	11	110	33.84615385	CropX	2
38	29400	29417	17	170	52.30769231	CropX	2
39	29417	29428	11	110	33.84615385	CropX	2
40	29482	29493	11	110	33.84615385	CropX	2
41	29501	29519	18	180	55.38461538	CropX	2
42	29519	29531	12	120	36.92307692	CropX	2
42	29552	29564	12	120	36.92307692	CropX	2
43	29572	29584	12	120	36.92307692	CropX	2
